,Venue,City,State
2146,Whole Foods Market,Exton, Pennsylvania
2147,Wendy's,Bushnell, Florida
2148,Subway,Hamilton, Ontario
2149,McDonalds,Toledo, Ohio
2150,Other,Singapore, 
2151,Starbucks,Las Vegas, Nevada
2152,Jack in the Box,, 
2153,Chick-Fil-A,Gilbert, Arizona
2154,Trader Joe's,Santa Clarita, California
2155,Carl's Jr,West Valley City, Utah
2156,McDonalds,Tumwater, Washington
2157,Other,Silver Spring, Maryland
2158,Chipotle Mexican Grill,Los Angeles, California
2159,Other,Pittsburgh, Pennsylvania
2160,Delta Airlines,Honolulu, Hawaii
2161,Burger King,Ocala, Florida
2162,Panda Express,Phoenix, Arizona
2163,Trader Joe's,Burbank, California
2164,Wawa,Langhorne, Pennsylvania
2165,Other,Mauldin, South Carolina
2166,Panera Bread,Knoxville, TN
2167,Panda Express,Henderson, Nevada
2168,Arby's,Garland, Texas
2169,Other,Johnson City, Tennessee
2170,Panda Express,Renton, Washington
2171,Other,Little Rock, Arkansas
2172,Other,Santa Fe, New Mexico
2173,Popeyes,Fairfax, Virginia
2174,Shari's,Meridian, Idaho
2175,Subway,Ormond Beach, Florida
2176,Costco,Red Deer, Alberta
2177,Shake Shack,Detroit, Michigan
2178,Charleys Philly Steaks,Columbus, Ohio
2179,Wendy's,Greenwood Village, Colorado
2180,Subway,Hamilton, Ontario
2181,Long John Silver's,Stillwater, Oklahoma
2182,A&amp;W,Monroe, Michigan
2183,Other,Wichita, Kansas
2184,Whole Foods Market,Jericho, New York
2185,Burger King,Quincy, Massachusetts
2186,Other,Rohnert Park, California
2187,Other,, 
2188,Subway,Stanhope Gardens, New South Wales
2189,Sweetgreen,Philadelphia, Pennsylvania
2190,Applebee's,Baldwin, New York
2191,Cracker Barrel,Dickson, Tennessee
2192,Taco Bell,Chandler, Arizona
2193,Other,, New York
2194,IHOP,Northglenn, Colorado
2195,Chipotle Mexican Grill,Hillsboro, Oregon
2196,Popeyes,Toronto, Ontario
2197,Domino's Pizza,Louisville, Kentucky
2198,Chipotle Mexican Grill,Woodbridge, Virginia
2199,Raising Canes,Glendale, Arizona
2200,The Cheesecake Factory,Austin, Texas
2201,Dunkin donuts,Chicago, Illinois
2202,Chipotle Mexican Grill,Wilmington, North Carolina
2203,Chick-Fil-A,Irving, Texas
2204,Costco,Frederick, Maryland
2205,Zaxby's,Commerce, Georgia
2206,Domino's Pizza,Kalamazoo, Michigan
2207,Subway,Mondovi, Wisconsin
2208,Domino's Pizza,Warrensburg, Missouri
2209,Other,Ann Arbor, Michigan
2210,Whataburger,Katy, Texas
2211,Pret a Manger,Chicago, Illinois
2212,Dunkin donuts,Smyrna, Georgia
2213,KFC,, County Limerick
2214,Subway,London, Ontario
2215,Bob Evans,Chillicothe, Ohio
2216,Other,Los Angeles, California
2217,McDonalds,Bergenfield, New Jersey
2218,Safeway,Keizer, Oregon
2219,Costco,Gilbert, Arizona
2220,Other,Detroit, Michigan
2221,Arby's,Warner Robins, Georgia
2222,Wendy's,St. Catharines, Ontario
2223,Denny's,Orlando, Florida
2224,KFC,, Scotland
2225,Other,Cape Town, Western Cape
2226,Wendy's,Chicago, Illinois
2227,Qdoba,Creve Coeur, Missouri
2228,Taco Bell,Kirksville, Missouri
2229,Popeyes,Pelham, Alabama
2230,KFC,Marion, Iowa
2231,Chipotle Mexican Grill,Goleta, California
2232,Greggs,, England
2233,Dairy Queen,Wichita, Kansas
2234,Chipotle Mexican Grill,Seattle, Washington
2235,Subway,Miami, Florida
2236,Olive Garden,Pensacola, Florida
2237,Wendy's,Hadley, Massachusetts
2238,Other,Fairlawn, Ohio
2239,KFC,, Vermont
2240,Subway,Baldwin, Michigan
2241,Chipotle Mexican Grill,Lake Oswego, Oregon
2242,Jack in the Box,Modesto, California
2243,Jack in the Box,Modesto, California
2244,The Cheesecake Factory,Happy Valley, Oregon
2245,Buffalo wild wings,Fishers, Indiana
2246,Starbucks,Denver, Colorado
2247,Dunkin donuts,Huntersville, North Carolina
2248,Little Caesars Pizza,Davison, Michigan
2249,Sonic,Chandler, Oklahoma
2250,Olive Garden,Vestal, New York
2251,McDonalds,Fuquay Varina, North Carolina
2252,McDonalds,Birmingham, Alabama
2253,Subway,Neenah, Wisconsin
2254,Other,, England
2255,McDonalds,Auburndale, Florida
2256,Five Guys,Cary, North Carolina
2257,Subway,, England
2258,McDonalds,Midland, Ontario
2259,Wendy's,Chula Vista, California
2260,Little Caesars Pizza,Hutto, Texas
2261,Chipotle Mexican Grill,West Hartford, Connecticut
2262,Panda Express,Frisco, Texas
2263,Domino's Pizza,Stoke-on-Trent, England
2264,Popeyes,Honolulu, Hawaii
2265,Raising Canes,Centerville, Ohio
2266,Yard House,Pasadena, California
2267,Panda Express,Antioch, California
2268,Tijuana Flats,Lutz, Florida
2269,Whole Foods Market,Los Angeles, California
2270,Other,Tucson, Arizona
2271,Pizza Hut,Fairburn, GA
2272,Walmart,South Jordan, Utah
2273,Qdoba,Louisville, Kentucky
2274,Chick-Fil-A,Brownsville, Texas
2275,Costco,Durham, North Carolina
2276,Other,Punta Cana, La Altagracia
2277,McDonalds,Cumming, Georgia
2278,McDonalds,Taylor, Michigan
2279,Sonic,Winter Haven, Florida
2280,Burger King,Tarpon Springs, Florida
2281,McDonalds,Highlands Ranch, Colorado
2282,McDonalds,Dearborn Heights, Michigan
2283,Chipotle Mexican Grill,Scottsdale, Arizona
2284,Other,Milwaukee, Wisconsin
2285,Taco Bell,Covington, Washington
2286,Chipotle Mexican Grill,Marysville, Ohio
2287,Costco,Kansas City, Missouri
2288,Subway,New Westminster, British Columbia
2289,Whole Foods Market,Virginia Beach, Virginia
2290,Chipotle Mexican Grill,Folsom, California
2291,Burger King,Fresno, California
2292,Applebee's,La Crosse, Virginia
2293,Sweet Tomatoes,Bradenton, Florida
2294,The Melting Pot,Portland, Oregon
2295,Other,Plano, Texas
2296,McDonalds,Junction City, Kansas
2297,Buffalo wild wings,Warrensburg, Missouri
2298,Taco Bell,Chicago, Illinois
2299,Chipotle Mexican Grill,New York, New York
2300,Other,Costa Mesa, California
2301,Taco Bell,Mishawaka, Indiana
2302,Taco Bell,Hicksville, New York
2303,Chipotle Mexican Grill,Dallas, Texas
2304,Other,Salt Lake City, Utah
2305,Other,Las Vegas, Nevada
2306,Arby's,Spring, Texas
2307,Sonic,Ville Platte, Louisiana
2308,Chipotle Mexican Grill,Dallas, Texas
2309,Other,Fort Collins, Colorado
2310,Chipotle Mexican Grill,Pasadena, California
2311,Chick-Fil-A,Bryan, Texas
2312,Papa John's,Kent, Ohio
2313,Taco Bell,Las Cruces, New Mexico
2314,McDonalds,Saugerties, New York
2315,Chipotle Mexican Grill,El Paso, Texas
2316,Disneyland,Anaheim, California
2317,Jack in the Box,Corona, California
2318,Chipotle Mexican Grill,Orlando, Florida
2319,Taco Bell,Dora, Alabama
2320,Wendy's,Greenville, Michigan
2321,Other,Immokalee, Florida
2322,Chipotle Mexican Grill,Arvada, Colorado
2323,McDonalds,Tompkinsville, Kentucky
2324,Little Caesars Pizza,West Jordan, Utah
2325,Mellow mushroom,Mount Pleasant, South Carolina
2326,Moe's Southwest grill,Evansville, Indiana
2327,Wendy's,Rancho Mirage, California
2328,McDonalds,Denver, Colorado
2329,Chipotle Mexican Grill,Hopkins, Minnesota
2330,Chipotle Mexican Grill,Pasadena, California
2331,Burger King,New York, New York
2332,Other,Windsor, Ontario
2333,Target,Bristol, Virginia
2334,Domino's Pizza,Maryville, Tennessee
2335,Sonic,Grove City, Ohio
2336,Popeyes,Richmond, Virginia
2337,Little Caesars Pizza,Charlotte, North Carolina
2338,Other,Haddonfield, New Jersey
2339,Delta Airlines,Houston, Texas
2340,Other,Fairport, New York
2341,Taco Bell,Lynchburg, Virginia
2342,Buffalo wild wings,Champaign, Illinois
2343,Applebee's,Federal Way, Washington
2344,Domino's Pizza,Wahiawa, Hawaii
2345,Other,Papendrecht, Zuid-Holland
2346,Whole Foods Market,Exton, Pennsylvania
2347,Wendy's,Bushnell, Florida
2348,Subway,Hamilton, Ontario
2349,McDonalds,Toledo, Ohio
2350,Other,Singapore, 
2351,Starbucks,Las Vegas, Nevada
2352,Jack in the Box,, 
2353,Chick-Fil-A,Gilbert, Arizona
2354,Trader Joe's,Santa Clarita, California
2355,Carl's Jr,West Valley City, Utah
2356,McDonalds,Tumwater, Washington
2357,Other,Silver Spring, Maryland
2358,Chipotle Mexican Grill,Los Angeles, California
2359,Other,Pittsburgh, Pennsylvania
2360,Delta Airlines,Honolulu, Hawaii
2361,Burger King,Ocala, Florida
2362,Panda Express,Phoenix, Arizona
2363,Trader Joe's,Burbank, California
2364,Wawa,Langhorne, Pennsylvania
2365,Other,Mauldin, South Carolina
2366,Panera Bread,Knoxville, TN
2367,Panda Express,Henderson, Nevada
2368,Arby's,Garland, Texas
2369,Other,Johnson City, Tennessee
2370,Panda Express,Renton, Washington
2371,Other,Little Rock, Arkansas
2372,Other,Santa Fe, New Mexico
2373,Popeyes,Fairfax, Virginia
2374,Shari's,Meridian, Idaho
2375,Subway,Ormond Beach, Florida
2376,Costco,Red Deer, Alberta
2377,Shake Shack,Detroit, Michigan
2378,Charleys Philly Steaks,Columbus, Ohio
2379,Wendy's,Greenwood Village, Colorado
2380,Subway,Hamilton, Ontario
2381,Long John Silver's,Stillwater, Oklahoma
2382,A&amp;W,Monroe, Michigan
2383,Other,Wichita, Kansas
2384,Whole Foods Market,Jericho, New York
2385,Burger King,Quincy, Massachusetts
2386,Other,Rohnert Park, California
2387,Other,, 
2388,Subway,Stanhope Gardens, New South Wales
2389,Sweetgreen,Philadelphia, Pennsylvania
2390,Applebee's,Baldwin, New York
2391,Cracker Barrel,Dickson, Tennessee
2392,Taco Bell,Chandler, Arizona
2393,Other,, New York
2394,IHOP,Northglenn, Colorado
2395,Chipotle Mexican Grill,Hillsboro, Oregon
2396,Popeyes,Toronto, Ontario
2397,Domino's Pizza,Louisville, Kentucky
2398,Chipotle Mexican Grill,Woodbridge, Virginia
2399,Raising Canes,Glendale, Arizona
2400,The Cheesecake Factory,Austin, Texas
2401,Dunkin donuts,Chicago, Illinois
2402,Chipotle Mexican Grill,Wilmington, North Carolina
2403,Chick-Fil-A,Irving, Texas
2404,Costco,Frederick, Maryland
2405,Zaxby's,Commerce, Georgia
2406,Domino's Pizza,Kalamazoo, Michigan
2407,Subway,Mondovi, Wisconsin
2408,Domino's Pizza,Warrensburg, Missouri
2409,Other,Ann Arbor, Michigan
2410,Whataburger,Katy, Texas
2411,Pret a Manger,Chicago, Illinois
2412,Dunkin donuts,Smyrna, Georgia
2413,KFC,, County Limerick
2414,Subway,London, Ontario
2415,Bob Evans,Chillicothe, Ohio
2416,Other,Los Angeles, California
2417,McDonalds,Bergenfield, New Jersey
2418,Safeway,Keizer, Oregon
2419,Costco,Gilbert, Arizona
2420,Other,Detroit, Michigan
2421,Arby's,Warner Robins, Georgia
2422,Wendy's,St. Catharines, Ontario
2423,Denny's,Orlando, Florida
2424,KFC,, Scotland
2425,Other,Cape Town, Western Cape
2426,Wendy's,Chicago, Illinois
2427,Qdoba,Creve Coeur, Missouri
2428,Taco Bell,Kirksville, Missouri
2429,Popeyes,Pelham, Alabama
2430,KFC,Marion, Iowa
2431,Chipotle Mexican Grill,Goleta, California
2432,Greggs,, England
2433,Dairy Queen,Wichita, Kansas
2434,Chipotle Mexican Grill,Seattle, Washington
2435,Subway,Miami, Florida
2436,Olive Garden,Pensacola, Florida
2437,Wendy's,Hadley, Massachusetts
2438,Other,Fairlawn, Ohio
2439,KFC,, Vermont
2440,Subway,Baldwin, Michigan
2441,Chipotle Mexican Grill,Lake Oswego, Oregon
2442,Jack in the Box,Modesto, California
2443,Jack in the Box,Modesto, California
2444,The Cheesecake Factory,Happy Valley, Oregon
2445,Buffalo wild wings,Fishers, Indiana
2446,Starbucks,Denver, Colorado
2447,Dunkin donuts,Huntersville, North Carolina
2448,Little Caesars Pizza,Davison, Michigan
2449,Sonic,Chandler, Oklahoma
2450,Olive Garden,Vestal, New York
2451,McDonalds,Fuquay Varina, North Carolina
2452,McDonalds,Birmingham, Alabama
2453,Subway,Neenah, Wisconsin
2454,Other,, England
2455,McDonalds,Auburndale, Florida
2456,Five Guys,Cary, North Carolina
2457,Subway,, England
2458,McDonalds,Midland, Ontario
2459,Wendy's,Chula Vista, California
2460,Little Caesars Pizza,Hutto, Texas
2461,Chipotle Mexican Grill,West Hartford, Connecticut
2462,Panda Express,Frisco, Texas
2463,Domino's Pizza,Stoke-on-Trent, England
2464,Popeyes,Honolulu, Hawaii
2465,Raising Canes,Centerville, Ohio
2466,Yard House,Pasadena, California
2467,Panda Express,Antioch, California
2468,Tijuana Flats,Lutz, Florida
2469,Whole Foods Market,Los Angeles, California
2470,Other,Tucson, Arizona
2471,Pizza Hut,Fairburn, GA
2472,Walmart,South Jordan, Utah
2473,Qdoba,Louisville, Kentucky
2474,Chick-Fil-A,Brownsville, Texas
2475,Costco,Durham, North Carolina
2476,Other,Punta Cana, La Altagracia
2477,McDonalds,Cumming, Georgia
2478,McDonalds,Taylor, Michigan
2479,Sonic,Winter Haven, Florida
2480,Burger King,Tarpon Springs, Florida
2481,McDonalds,Highlands Ranch, Colorado
2482,McDonalds,Dearborn Heights, Michigan
2483,Chipotle Mexican Grill,Scottsdale, Arizona
2484,Other,Milwaukee, Wisconsin
2485,Taco Bell,Covington, Washington
2486,Chipotle Mexican Grill,Marysville, Ohio
2487,Costco,Kansas City, Missouri
2488,Subway,New Westminster, British Columbia
2489,Whole Foods Market,Virginia Beach, Virginia
2490,Chipotle Mexican Grill,Folsom, California
2491,Burger King,Fresno, California
2492,Applebee's,La Crosse, Virginia
2493,Sweet Tomatoes,Bradenton, Florida
2494,The Melting Pot,Portland, Oregon
2495,Other,Plano, Texas
2496,McDonalds,Junction City, Kansas
2497,Buffalo wild wings,Warrensburg, Missouri
2498,Taco Bell,Chicago, Illinois
2499,Chipotle Mexican Grill,New York, New York
2500,Other,Costa Mesa, California
2501,Taco Bell,Mishawaka, Indiana
2502,Taco Bell,Hicksville, New York
2503,Chipotle Mexican Grill,Dallas, Texas
2504,Other,Salt Lake City, Utah
2505,Other,Las Vegas, Nevada
2506,Arby's,Spring, Texas
2507,Sonic,Ville Platte, Louisiana
2508,Chipotle Mexican Grill,Dallas, Texas
2509,Other,Fort Collins, Colorado
2510,Chipotle Mexican Grill,Pasadena, California
2511,Chick-Fil-A,Bryan, Texas
2512,Papa John's,Kent, Ohio
2513,Taco Bell,Las Cruces, New Mexico
2514,McDonalds,Saugerties, New York
2515,Chipotle Mexican Grill,El Paso, Texas
2516,Disneyland,Anaheim, California
2517,Jack in the Box,Corona, California
2518,Chipotle Mexican Grill,Orlando, Florida
2519,Taco Bell,Dora, Alabama
2520,Wendy's,Greenville, Michigan
2521,Other,Immokalee, Florida
2522,Chipotle Mexican Grill,Arvada, Colorado
2523,McDonalds,Tompkinsville, Kentucky
2524,Little Caesars Pizza,West Jordan, Utah
2525,Mellow mushroom,Mount Pleasant, South Carolina
2526,Moe's Southwest grill,Evansville, Indiana
2527,Wendy's,Rancho Mirage, California
2528,McDonalds,Denver, Colorado
2529,Chipotle Mexican Grill,Hopkins, Minnesota
2530,Chipotle Mexican Grill,Pasadena, California
2531,Burger King,New York, New York
2532,Other,Windsor, Ontario
2533,Target,Bristol, Virginia
2534,Domino's Pizza,Maryville, Tennessee
2535,Sonic,Grove City, Ohio
2536,Popeyes,Richmond, Virginia
2537,Little Caesars Pizza,Charlotte, North Carolina
2538,Other,Haddonfield, New Jersey
2539,Delta Airlines,Houston, Texas
2540,Other,Fairport, New York
2541,Taco Bell,Lynchburg, Virginia
2542,Buffalo wild wings,Champaign, Illinois
2543,Applebee's,Federal Way, Washington
2544,Domino's Pizza,Wahiawa, Hawaii
2545,Other,Papendrecht, Zuid-Holland
2546,Whole Foods Market,Exton, Pennsylvania
2547,Wendy's,Bushnell, Florida
2548,Subway,Hamilton, Ontario
2549,McDonalds,Toledo, Ohio
2550,Other,Singapore, 
2551,Starbucks,Las Vegas, Nevada
2552,Jack in the Box,, 
2553,Chick-Fil-A,Gilbert, Arizona
2554,Trader Joe's,Santa Clarita, California
2555,Carl's Jr,West Valley City, Utah
2556,McDonalds,Tumwater, Washington
2557,Other,Silver Spring, Maryland
2558,Chipotle Mexican Grill,Los Angeles, California
2559,Other,Pittsburgh, Pennsylvania
2560,Delta Airlines,Honolulu, Hawaii
2561,Burger King,Ocala, Florida
2562,Panda Express,Phoenix, Arizona
2563,Trader Joe's,Burbank, California
2564,Wawa,Langhorne, Pennsylvania
2565,Other,Mauldin, South Carolina
2566,Panera Bread,Knoxville, TN
2567,Panda Express,Henderson, Nevada
2568,Arby's,Garland, Texas
2569,Other,Johnson City, Tennessee
2570,Panda Express,Renton, Washington
2571,Other,Little Rock, Arkansas
2572,Other,Santa Fe, New Mexico
2573,Popeyes,Fairfax, Virginia
2574,Shari's,Meridian, Idaho
2575,Subway,Ormond Beach, Florida
2576,Costco,Red Deer, Alberta
2577,Shake Shack,Detroit, Michigan
2578,Charleys Philly Steaks,Columbus, Ohio
2579,Wendy's,Greenwood Village, Colorado
2580,Subway,Hamilton, Ontario
2581,Long John Silver's,Stillwater, Oklahoma
2582,A&amp;W,Monroe, Michigan
2583,Other,Wichita, Kansas
2584,Whole Foods Market,Jericho, New York
2585,Burger King,Quincy, Massachusetts
2586,Other,Rohnert Park, California
2587,Other,, 
2588,Subway,Stanhope Gardens, New South Wales
2589,Sweetgreen,Philadelphia, Pennsylvania
2590,Applebee's,Baldwin, New York
2591,Cracker Barrel,Dickson, Tennessee
2592,Taco Bell,Chandler, Arizona
2593,Other,, New York
2594,IHOP,Northglenn, Colorado
2595,Chipotle Mexican Grill,Hillsboro, Oregon
2596,Popeyes,Toronto, Ontario
2597,Domino's Pizza,Louisville, Kentucky
2598,Chipotle Mexican Grill,Woodbridge, Virginia
2599,Raising Canes,Glendale, Arizona
2600,The Cheesecake Factory,Austin, Texas
2601,Dunkin donuts,Chicago, Illinois
2602,Chipotle Mexican Grill,Wilmington, North Carolina
2603,Chick-Fil-A,Irving, Texas
2604,Costco,Frederick, Maryland
2605,Zaxby's,Commerce, Georgia
2606,Domino's Pizza,Kalamazoo, Michigan
2607,Subway,Mondovi, Wisconsin
2608,Domino's Pizza,Warrensburg, Missouri
2609,Other,Ann Arbor, Michigan
2610,Whataburger,Katy, Texas
2611,Pret a Manger,Chicago, Illinois
2612,Dunkin donuts,Smyrna, Georgia
2613,KFC,, County Limerick
2614,Subway,London, Ontario
2615,Bob Evans,Chillicothe, Ohio
2616,Other,Los Angeles, California
2617,McDonalds,Bergenfield, New Jersey
2618,Safeway,Keizer, Oregon
2619,Costco,Gilbert, Arizona
2620,Other,Detroit, Michigan
2621,Arby's,Warner Robins, Georgia
2622,Wendy's,St. Catharines, Ontario
2623,Denny's,Orlando, Florida
2624,KFC,, Scotland
2625,Other,Cape Town, Western Cape
2626,Wendy's,Chicago, Illinois
2627,Qdoba,Creve Coeur, Missouri
2628,Taco Bell,Kirksville, Missouri
2629,Popeyes,Pelham, Alabama
2630,KFC,Marion, Iowa
2631,Chipotle Mexican Grill,Goleta, California
2632,Greggs,, England
2633,Dairy Queen,Wichita, Kansas
2634,Chipotle Mexican Grill,Seattle, Washington
2635,Subway,Miami, Florida
2636,Olive Garden,Pensacola, Florida
2637,Wendy's,Hadley, Massachusetts
2638,Other,Fairlawn, Ohio
2639,KFC,, Vermont
2640,Subway,Baldwin, Michigan
2641,Chipotle Mexican Grill,Lake Oswego, Oregon
2642,Jack in the Box,Modesto, California
2643,Jack in the Box,Modesto, California
2644,The Cheesecake Factory,Happy Valley, Oregon
2645,Buffalo wild wings,Fishers, Indiana
2646,Starbucks,Denver, Colorado
2647,Dunkin donuts,Huntersville, North Carolina
2648,Little Caesars Pizza,Davison, Michigan
2649,Sonic,Chandler, Oklahoma
2650,Olive Garden,Vestal, New York
2651,McDonalds,Fuquay Varina, North Carolina
2652,McDonalds,Birmingham, Alabama
2653,Subway,Neenah, Wisconsin
2654,Other,, England
2655,McDonalds,Auburndale, Florida
2656,Five Guys,Cary, North Carolina
2657,Subway,, England
2658,McDonalds,Midland, Ontario
2659,Wendy's,Chula Vista, California
2660,Little Caesars Pizza,Hutto, Texas
2661,Chipotle Mexican Grill,West Hartford, Connecticut
2662,Panda Express,Frisco, Texas
2663,Domino's Pizza,Stoke-on-Trent, England
2664,Popeyes,Honolulu, Hawaii
2665,Raising Canes,Centerville, Ohio
2666,Yard House,Pasadena, California
2667,Panda Express,Antioch, California
2668,Tijuana Flats,Lutz, Florida
2669,Whole Foods Market,Los Angeles, California
2670,Other,Tucson, Arizona
2671,Pizza Hut,Fairburn, GA
2672,Walmart,South Jordan, Utah
2673,Qdoba,Louisville, Kentucky
2674,Chick-Fil-A,Brownsville, Texas
2675,Costco,Durham, North Carolina
2676,Other,Punta Cana, La Altagracia
2677,McDonalds,Cumming, Georgia
2678,McDonalds,Taylor, Michigan
2679,Sonic,Winter Haven, Florida
2680,Burger King,Tarpon Springs, Florida
2681,McDonalds,Highlands Ranch, Colorado
2682,McDonalds,Dearborn Heights, Michigan
2683,Chipotle Mexican Grill,Scottsdale, Arizona
2684,Other,Milwaukee, Wisconsin
2685,Taco Bell,Covington, Washington
2686,Chipotle Mexican Grill,Marysville, Ohio
2687,Costco,Kansas City, Missouri
2688,Subway,New Westminster, British Columbia
2689,Whole Foods Market,Virginia Beach, Virginia
2690,Chipotle Mexican Grill,Folsom, California
2691,Burger King,Fresno, California
2692,Applebee's,La Crosse, Virginia
2693,Sweet Tomatoes,Bradenton, Florida
2694,The Melting Pot,Portland, Oregon
2695,Other,Plano, Texas
2696,McDonalds,Junction City, Kansas
2697,Buffalo wild wings,Warrensburg, Missouri
2698,Taco Bell,Chicago, Illinois
2699,Chipotle Mexican Grill,New York, New York
2700,Other,Costa Mesa, California
2701,Taco Bell,Mishawaka, Indiana
2702,Taco Bell,Hicksville, New York
2703,Chipotle Mexican Grill,Dallas, Texas
2704,Other,Salt Lake City, Utah
2705,Other,Las Vegas, Nevada
2706,Arby's,Spring, Texas
2707,Sonic,Ville Platte, Louisiana
2708,Chipotle Mexican Grill,Dallas, Texas
2709,Other,Fort Collins, Colorado
2710,Chipotle Mexican Grill,Pasadena, California
2711,Chick-Fil-A,Bryan, Texas
2712,Papa John's,Kent, Ohio
2713,Taco Bell,Las Cruces, New Mexico
2714,McDonalds,Saugerties, New York
2715,Chipotle Mexican Grill,El Paso, Texas
2716,Disneyland,Anaheim, California
2717,Jack in the Box,Corona, California
2718,Chipotle Mexican Grill,Orlando, Florida
2719,Taco Bell,Dora, Alabama
2720,Wendy's,Greenville, Michigan
2721,Other,Immokalee, Florida
2722,Chipotle Mexican Grill,Arvada, Colorado
2723,McDonalds,Tompkinsville, Kentucky
2724,Little Caesars Pizza,West Jordan, Utah
2725,Mellow mushroom,Mount Pleasant, South Carolina
2726,Moe's Southwest grill,Evansville, Indiana
2727,Wendy's,Rancho Mirage, California
2728,McDonalds,Denver, Colorado
2729,Chipotle Mexican Grill,Hopkins, Minnesota
2730,Chipotle Mexican Grill,Pasadena, California
2731,Burger King,New York, New York
2732,Other,Windsor, Ontario
2733,Target,Bristol, Virginia
2734,Domino's Pizza,Maryville, Tennessee
2735,Sonic,Grove City, Ohio
2736,Popeyes,Richmond, Virginia
2737,Little Caesars Pizza,Charlotte, North Carolina
2738,Other,Haddonfield, New Jersey
2739,Delta Airlines,Houston, Texas
2740,Other,Fairport, New York
2741,Taco Bell,Lynchburg, Virginia
2742,Buffalo wild wings,Champaign, Illinois
2743,Applebee's,Federal Way, Washington
2744,Domino's Pizza,Wahiawa, Hawaii
2745,Other,Papendrecht, Zuid-Holland
2746,Whole Foods Market,Exton, Pennsylvania
2747,Wendy's,Bushnell, Florida
2748,Subway,Hamilton, Ontario
2749,McDonalds,Toledo, Ohio
2750,Other,Singapore, 
2751,Starbucks,Las Vegas, Nevada
2752,Jack in the Box,, 
2753,Chick-Fil-A,Gilbert, Arizona
2754,Trader Joe's,Santa Clarita, California
2755,Carl's Jr,West Valley City, Utah
2756,McDonalds,Tumwater, Washington
2757,Other,Silver Spring, Maryland
2758,Chipotle Mexican Grill,Los Angeles, California
2759,Other,Pittsburgh, Pennsylvania
2760,Delta Airlines,Honolulu, Hawaii
2761,Burger King,Ocala, Florida
2762,Panda Express,Phoenix, Arizona
2763,Trader Joe's,Burbank, California
2764,Wawa,Langhorne, Pennsylvania
2765,Other,Mauldin, South Carolina
2766,Panera Bread,Knoxville, TN
2767,Panda Express,Henderson, Nevada
2768,Arby's,Garland, Texas
2769,Other,Johnson City, Tennessee
2770,Panda Express,Renton, Washington
2771,Other,Little Rock, Arkansas
2772,Other,Santa Fe, New Mexico
2773,Popeyes,Fairfax, Virginia
2774,Shari's,Meridian, Idaho
2775,Subway,Ormond Beach, Florida
2776,Costco,Red Deer, Alberta
2777,Shake Shack,Detroit, Michigan
2778,Charleys Philly Steaks,Columbus, Ohio
2779,Wendy's,Greenwood Village, Colorado
2780,Subway,Hamilton, Ontario
2781,Long John Silver's,Stillwater, Oklahoma
2782,A&amp;W,Monroe, Michigan
2783,Other,Wichita, Kansas
2784,Whole Foods Market,Jericho, New York
2785,Burger King,Quincy, Massachusetts
2786,Other,Rohnert Park, California
2787,Other,, 
2788,Subway,Stanhope Gardens, New South Wales
2789,Sweetgreen,Philadelphia, Pennsylvania
2790,Applebee's,Baldwin, New York
2791,Cracker Barrel,Dickson, Tennessee
2792,Taco Bell,Chandler, Arizona
2793,Other,, New York
2794,IHOP,Northglenn, Colorado
2795,Chipotle Mexican Grill,Hillsboro, Oregon
2796,Popeyes,Toronto, Ontario
2797,Domino's Pizza,Louisville, Kentucky
2798,Chipotle Mexican Grill,Woodbridge, Virginia
2799,Raising Canes,Glendale, Arizona
2800,The Cheesecake Factory,Austin, Texas
2801,Dunkin donuts,Chicago, Illinois
2802,Chipotle Mexican Grill,Wilmington, North Carolina
2803,Chick-Fil-A,Irving, Texas
2804,Costco,Frederick, Maryland
2805,Zaxby's,Commerce, Georgia
2806,Domino's Pizza,Kalamazoo, Michigan
2807,Subway,Mondovi, Wisconsin
2808,Domino's Pizza,Warrensburg, Missouri
2809,Other,Ann Arbor, Michigan
2810,Whataburger,Katy, Texas
2811,Pret a Manger,Chicago, Illinois
2812,Dunkin donuts,Smyrna, Georgia
2813,KFC,, County Limerick
2814,Subway,London, Ontario
2815,Bob Evans,Chillicothe, Ohio
2816,Other,Los Angeles, California
2817,McDonalds,Bergenfield, New Jersey
2818,Safeway,Keizer, Oregon
2819,Costco,Gilbert, Arizona
2820,Other,Detroit, Michigan
2821,Arby's,Warner Robins, Georgia
2822,Wendy's,St. Catharines, Ontario
2823,Denny's,Orlando, Florida
2824,KFC,, Scotland
2825,Other,Cape Town, Western Cape
2826,Wendy's,Chicago, Illinois
2827,Qdoba,Creve Coeur, Missouri
2828,Taco Bell,Kirksville, Missouri
2829,Popeyes,Pelham, Alabama
2830,KFC,Marion, Iowa
2831,Chipotle Mexican Grill,Goleta, California
2832,Greggs,, England
2833,Dairy Queen,Wichita, Kansas
2834,Chipotle Mexican Grill,Seattle, Washington
2835,Subway,Miami, Florida
2836,Olive Garden,Pensacola, Florida
2837,Wendy's,Hadley, Massachusetts
2838,Other,Fairlawn, Ohio
2839,KFC,, Vermont
2840,Subway,Baldwin, Michigan
2841,Chipotle Mexican Grill,Lake Oswego, Oregon
2842,Jack in the Box,Modesto, California
2843,Jack in the Box,Modesto, California
2844,The Cheesecake Factory,Happy Valley, Oregon
2845,Buffalo wild wings,Fishers, Indiana
2846,Starbucks,Denver, Colorado
